Date,Value
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,97965.47638963003
2020-03-30,100565.66638963002
2020-03-31,100370.27638963002
2020-04-01,95455.46638963002
2020-04-02,96943.43638963002
2020-04-03,95635.82638963002
2020-04-06,103376.27638963
2020-04-07,102264.05638963003
2020-04-08,104698.91638963003
2020-04-09,105405.32638963003
2020-04-13,107344.19638963001
2020-04-14,112409.30638963003
2020-04-15,111447.38638963002
2020-04-16,112274.03638963001
2020-04-17,110846.18638963002
2020-04-20,108696.89638963003
2020-04-21,105555.62638963002
2020-04-22,108381.26638963001
2020-04-23,107990.48638963002
2020-04-24,110906.30638963003
2020-04-27,110981.45638963002
2020-04-28,109298.09638963001
2020-04-29,112664.81638963002
2020-04-30,114889.25638963001
2020-05-01,113160.80638963003
2020-05-04,114663.80638963003
2020-05-05,116272.01638963001
2020-05-06,117399.26638963001
2020-05-07,118541.54638963002
2020-05-08,121201.85638963002
2020-05-11,123005.45638963002
2020-05-12,121667.78638963001
2020-05-13,120285.02638963
2020-05-14,120976.40638963002
2020-05-15,120315.08638963003
2020-05-18,122975.39638963003
2020-05-19,122314.07638963003
2020-05-20,124553.54638963002
2020-05-21,123681.80638963003
2020-05-22,124433.30638963003
2020-05-26,123636.71638963002
2020-05-27,124132.70638963002
2020-05-28,123418.44719758003
2020-05-29,123418.44719758003
2020-06-01,123418.44719758003
2020-06-02,123418.44719758003
2020-06-03,123418.44719758003
2020-06-04,123418.44719758003
2020-06-05,123418.44719758003
2020-06-08,123418.44719758003
2020-06-09,127357.78657564004
2020-06-10,130469.56657564004
2020-06-11,124518.46657564005
2020-06-12,125536.60657564005
2020-06-15,126999.28657564004
2020-06-16,130197.10657564005
2020-06-17,130025.02657564006
2020-06-18,130082.38657564005
2020-06-19,129365.38657564005
2020-06-22,132591.88657564003
2020-06-23,135273.46657564005
2020-06-24,133007.74657564005
2020-06-25,134685.52657564005
2020-06-26,130742.02657564006
2020-06-29,133610.02657564005
2020-06-30,132852.53041564004
2020-07-01,132852.53041564004
2020-07-02,132852.53041564004
2020-07-06,132852.53041564004
2020-07-07,132852.53041564004
2020-07-08,132852.53041564004
2020-07-09,131969.03641564003
2020-07-10,132198.53641564003
2020-07-13,131604.53641564003
2020-07-14,133697.03641564003
2020-07-15,134588.03641564003
2020-07-16,132995.03641564003
2020-07-17,132738.53641564003
2020-07-20,132604.90604464005
2020-07-21,129604.61918464006
2020-07-22,128971.57486464005
2020-07-23,128971.57486464005
2020-07-24,128971.57486464005
2020-07-27,128971.57486464005
2020-07-28,128971.57486464005
2020-07-29,128971.57486464005
2020-07-30,128971.57486464005
2020-07-31,128971.57486464005
2020-08-03,129568.13870889005
2020-08-04,130402.38870889005
2020-08-05,130860.63870889005
2020-08-06,135290.38870889007
2020-08-07,132305.88870889007
2020-08-10,134174.13870889007
2020-08-11,130296.63870889007
2020-08-12,134491.38870889007
2020-08-13,136806.13870889007
2020-08-14,136688.63870889007
2020-08-17,136336.13870889007
2020-08-18,137440.63870889007
2020-08-19,137605.13870889007
2020-08-20,140577.88870889007
2020-08-21,147604.38870889007
2020-08-24,149319.88870889007
2020-08-25,148133.13870889007
2020-08-26,150095.38870889007
2020-08-27,148344.63870889007
2020-08-28,148109.63870889007
2020-08-31,152997.63870889007
2020-09-01,158931.38870889007
2020-09-02,155723.63870889007
2020-09-03,143574.13870889007
2020-09-04,142368.86828839005
2020-09-08,142368.86828839005
2020-09-09,142368.86828839005
2020-09-10,142368.86828839005
2020-09-11,142368.86828839005
2020-09-14,142368.86828839005
2020-09-15,142368.86828839005
2020-09-16,142368.86828839005
2020-09-17,142368.86828839005
2020-09-18,142368.86828839005
2020-09-21,142368.86828839005
2020-09-22,142368.86828839005
2020-09-23,142368.86828839005
2020-09-24,142368.86828839005
2020-09-25,142368.86828839005
2020-09-28,142368.86828839005
2020-09-29,142368.86828839005
2020-09-30,142368.86828839005
2020-10-01,142368.86828839005
2020-10-02,142248.84081997006
2020-10-05,146277.60081997007
2020-10-06,142413.76081997008
2020-10-07,144640.18081997006
2020-10-08,144510.60081997007
2020-10-09,146819.48081997008
2020-10-12,155418.88081997007
2020-10-13,151602.16081997007
2020-10-14,151708.18081997006
2020-10-15,151154.52081997006
2020-10-16,149199.04081997008
2020-10-19,145676.82081997007
2020-10-20,147443.82081997007
2020-10-21,146713.46081997006
2020-10-22,147101.48855405004
2020-10-23,147101.48855405004
2020-10-26,147101.48855405004
2020-10-27,147101.48855405004
2020-10-28,147101.48855405004
2020-10-29,147101.48855405004
2020-10-30,147101.48855405004
2020-11-02,147101.48855405004
2020-11-03,147101.48855405004
2020-11-04,147101.48855405004
2020-11-05,147101.48855405004
2020-11-06,147101.48855405004
2020-11-09,141902.19123629006
2020-11-10,141495.55123629005
2020-11-11,145633.71123629005
2020-11-12,145310.79123629004
2020-11-13,145358.63123629006
2020-11-16,146590.51123629007
2020-11-17,145514.11123629005
2020-11-18,143911.47123629003
2020-11-19,144629.07123629007
2020-11-20,143110.15123629005
2020-11-23,138995.91123629003
2020-11-24,138799.70992397005
2020-11-25,138799.70992397005
2020-11-27,138799.70992397005
2020-11-30,138799.70992397005
2020-12-01,138799.70992397005
2020-12-02,139673.04777845007
2020-12-03,139531.08777845008
