Date,RSI,MACD,Stochastic,ATR,CCI,ADX,WilliamsR,ROC,Momentum,MFI
2011-05-27,43.09,-19.18,33.08,34.9,-42.18,27.99,-48.83,-0.03,-66.39,43.67
2011-05-30,43.32,-18.13,47.54,34.58,-36.66,27.37,-53.58,-0.01,-28.86,41.6
2011-05-31,46.65,-13.22,63.91,35.89,11.35,25.51,-5.85,0.01,22.39,45.62
2011-06-01,52.94,-9.32,77.02,34.76,34.45,23.82,-9.5,0.02,37.16,42.54
2011-06-02,49.14,-8.31,84.32,35.66,-3.46,23.27,-31.69,0.01,11.79,40.11
2011-06-03,51.42,-7.49,75.51,34.77,11.5,22.56,-32.29,-0.01,-22.31,37.65
2011-06-07,49.6,-7.86,64.16,33.87,-13.99,22.41,-43.54,0.0,4.2,35.48
2011-06-08,41.87,-9.36,55.75,34.34,-28.54,22.85,-56.92,-0.01,-28.15,33.14
2011-06-09,45.91,-11.39,44.28,33.4,-38.77,23.29,-66.68,0.01,15.71,30.94
2011-06-10,39.3,-14.82,29.82,34.49,-55.2,24.23,-86.92,-0.01,-15.09,29.01
2011-06-13,48.6,-17.17,21.56,34.33,-77.47,25.51,-81.71,0.01,12.87,32.7
2011-06-14,52.78,-16.58,23.89,34.85,-41.21,25.6,-59.69,-0.01,-15.08,36.15
2011-06-15,59.93,-15.15,35.51,34.23,-17.62,25.33,-52.08,-0.01,-13.71,39.82
2011-06-16,40.53,-17.04,34.95,34.84,-60.44,25.59,-83.37,-0.02,-47.16,37.48
2011-06-17,36.08,-19.5,26.86,35.91,-89.19,26.57,-83.98,-0.05,-110.54,34.85
2011-06-20,35.24,-22.19,13.39,35.46,-92.85,27.47,-92.5,-0.06,-121.69,32.84
2011-06-21,29.59,-21.76,16.94,35.45,-76.31,28.13,-72.71,-0.03,-66.03,37.58
2011-06-22,34.24,-19.93,26.51,34.79,-26.85,27.71,-55.27,-0.02,-49.57,41.82
2011-06-23,37.12,-18.91,36.74,33.51,-54.93,27.61,-61.8,-0.02,-43.85,39.02
2011-06-24,45.66,-15.1,54.89,33.62,7.4,26.49,-18.25,0.0,7.46,43.67
2011-06-27,44.5,-13.58,60.41,33.53,-24.53,25.57,-38.72,-0.0,-1.13,40.88
2011-06-28,46.05,-12.83,67.46,33.78,-1.99,23.87,-40.65,0.01,16.24,37.42
2011-06-29,54.13,-9.58,71.53,33.94,52.95,22.3,-6.06,0.02,45.68,41.6
2011-06-30,60.4,-6.42,82.78,32.55,80.83,20.81,-4.95,0.01,23.86,45.54
2011-07-01,63.62,-1.88,94.72,32.43,139.3,20.31,-4.83,0.02,39.21,49.49
2011-07-04,62.49,3.26,94.9,32.08,172.01,20.45,-5.53,0.05,98.67,53.4
2011-07-05,63.39,8.57,96.2,31.08,167.95,20.85,-1.05,0.06,129.82,56.93
2011-07-06,74.87,13.38,97.81,30.0,161.37,21.42,-0.0,0.08,151.54,60.1
2011-07-07,80.33,17.74,98.79,29.27,157.84,22.3,-2.57,0.06,132.42,63.82
2011-07-08,84.48,20.94,96.79,28.52,146.47,23.3,-7.05,0.06,116.45,58.48
2011-07-11,73.93,21.36,88.58,28.52,99.54,23.18,-24.64,0.05,101.3,54.83
2011-07-12,58.83,17.66,70.3,30.0,28.99,21.61,-57.4,0.01,18.92,50.85
2011-07-13,63.6,16.15,56.98,29.43,31.84,20.16,-47.01,0.03,59.35,54.65
2011-07-14,58.29,14.82,49.64,29.1,26.13,18.89,-46.69,0.03,67.16,58.15
2011-07-15,66.19,14.81,56.55,28.61,44.87,17.91,-36.66,0.02,50.78,61.03
2011-07-18,64.15,13.46,53.51,28.58,31.09,17.16,-56.11,0.01,29.79,56.01
2011-07-19,58.62,12.23,48.56,27.76,19.01,16.46,-61.55,0.0,4.47,51.79
2011-07-20,62.01,13.1,46.36,28.2,54.37,16.63,-43.25,0.0,9.65,56.22
2011-07-21,54.58,12.84,46.88,27.61,27.75,16.19,-54.56,-0.01,-16.71,51.32
2011-07-22,55.96,14.58,59.18,27.5,53.74,16.3,-24.66,0.0,0.04,56.06
2011-07-25,47.46,14.12,57.48,27.27,23.43,16.11,-48.35,-0.01,-30.11,51.61
2011-07-26,49.46,15.06,66.48,26.79,32.22,16.28,-27.55,-0.01,-11.65,55.32
2011-07-27,48.62,16.06,67.65,26.51,34.3,16.63,-21.14,0.01,17.15,58.42
2011-07-28,45.0,15.2,74.71,27.16,4.63,16.32,-27.17,0.02,46.12,54.35
2011-07-29,45.1,12.54,63.98,27.09,-14.34,15.77,-59.75,0.0,3.57,50.24
2011-08-01,63.25,13.43,69.87,28.01,33.62,15.79,-3.48,0.02,42.24,53.32
2011-08-02,48.43,9.91,53.28,30.12,-41.14,15.29,-76.93,-0.01,-23.93,49.04
2011-08-03,40.09,2.65,42.61,32.6,-168.22,16.36,-91.77,-0.03,-64.22,44.42
2011-08-04,32.12,-6.89,11.11,34.25,-220.69,18.12,-97.97,-0.05,-111.74,41.06
2011-08-05,27.47,-20.24,6.45,38.79,-340.96,20.9,-90.92,-0.1,-211.2,37.15
2011-08-08,23.31,-36.39,9.88,46.29,-361.48,24.32,-81.47,-0.13,-275.59,33.26
